"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
116760175,1,"Rower",NA,NA,NA
116760175,2,"Samochód osobowy",NA,NA,NA
116763101,1,"Samochód osobowy",NA,NA,NA
116763101,2,"Rower",NA,NA,NA
116969426,1,"Rower",NA,NA,NA
116969426,2,"Samochód osobowy",NA,NA,NA
116994105,1,"Pojazd nieustalony",NA,NA,NA
116994105,2,"Rower",NA,NA,NA
117049889,1,"Rower",NA,NA,NA
117049889,2,"Samochód osobowy",NA,NA,NA
117081141,1,"Rower",NA,NA,NA
117154818,1,"Rower",NA,NA,NA
117154818,2,"Samochód osobowy",NA,NA,NA
117376980,1,"Rower",NA,NA,NA
117376980,2,"Samochód ciężarowy DMC do 3,5 T",NA,NA,NA
118712985,1,"Rower",NA,NA,NA
120302073,1,"Samochód osobowy",NA,NA,NA
120302073,2,"Rower",NA,NA,NA
120302513,1,"Rower",NA,NA,NA
120302513,2,"Samochód osobowy",NA,NA,NA
120305461,1,"Samochód osobowy",NA,NA,NA
120305461,2,"Rower",NA,NA,NA
120309415,1,"Autobus inny",NA,NA,NA
120309415,2,"Rower",NA,NA,NA
120315477,1,"Rower",NA,NA,NA
120315477,2,"Samochód osobowy",NA,NA,NA
120315602,1,"Samochód osobowy",NA,NA,NA
120315602,2,"Rower",NA,NA,NA
120317411,1,"Samochód osobowy",NA,NA,NA
120317411,2,"Rower",NA,NA,NA
120319343,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
120319343,2,"Rower",NA,NA,NA
120320541,1,"Rower",NA,NA,NA
120320541,2,"Samochód osobowy",NA,NA,NA
120321998,1,"Rower",NA,NA,NA
120321998,2,"Samochód osobowy",NA,NA,NA
120322780,1,"Rower",NA,NA,NA
120322780,2,"Samochód osobowy",NA,NA,NA
120327713,1,"Samochód osobowy",NA,NA,NA
120327713,2,"Rower",NA,NA,NA
120327762,1,"Samochód osobowy",NA,NA,NA
120327762,2,"Rower",NA,NA,NA
120332294,1,"Rower",NA,NA,NA
120332294,2,"Rower",NA,NA,NA
