"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Pod wpływem","Liczba lat kierowania","Przyczyna wypadku","Kara","Obrażenia","Nieprawidłowe użycie"
90787144,"1","1","Kierujący","1973-03-01","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
90787144,"2","1","Kierujący","1971-03-01","Kobieta","Posiada","Trzeźwy","19","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
90801707,"1","1","Kierujący","1978-08-01","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
90801707,"2","1","Kierujący","1976-06-24","Mężczyzna","Posiada","Trzeźwy","6","Nieprawidłowe: wyprzedzanie","Dochodzenie",NA,NA
90816359,"1","1","Kierujący","1971-05-20","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Niedostosowanie prędkości do warunków ruchu","Pouczenie","Ranny lekko",NA
90825260,"1","1","Kierujący","1977-10-27","Mężczyzna","Posiada","Trzeźwy","13",NA,NA,NA,NA
90825260,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieprawidłowe: wymijanie",NA,NA,NA
90876917,"1","1","Kierujący","1948-07-18","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
90876917,"2","1","Kierujący","1983-07-08","Mężczyzna","Posiada","Trzeźwy","1","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
90924906,"1","1","Kierujący","1985-01-15","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
90924906,"2","1","Kierujący","1967-07-16","Mężczyzna","Posiada","Trzeźwy","7","Nieprawidłowe: wyprzedzanie","Mandat karny",NA,NA
90992853,"1","1","Kierujący","1938-09-10","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
90992853,"2","1","Kierujący","Nieustalona","Mężczyzna",NA,"Trzeźwy",NA,"Nieprawidłowe: wyprzedzanie","Dochodzenie",NA,NA
91055346,"1","1","Kierujący","1944-01-01","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
91055346,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
91134171,"1","1","Kierujący","1974-05-20","Kobieta","Posiada","Trzeźwy","10",NA,NA,NA,NA
91134171,"2","1","Kierujący","1935-02-14","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Pouczenie",NA,NA
91150558,"1","1","Kierujący","1959-05-05","Mężczyzna","Nie wymagane","Alkoholu",NA,NA,"Pouczenie","Ranny lekko",NA
91150804,"1","1","Kierujący","1958-11-08","Mężczyzna","Posiada","Trzeźwy",NA,NA,"Inny organ","Ranny lekko",NA
91209159,"1","1","Kierujący","1988-07-13","Mężczyzna","Posiada","Trzeźwy","1",NA,NA,NA,NA
91209159,"2","1","Kierujący","1978-05-25","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: skręcanie","Dochodzenie","Ranny lekko",NA
91280659,"1","1","Kierujący","1990-06-17","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
