"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Pod wpływem","Liczba lat kierowania","Przyczyna wypadku","Kara","Obrażenia","Nieprawidłowe użycie"
98082709,"1","1","Kierujący","1977-03-19","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
98082709,"2","1","Kierujący","1959-05-16","Kobieta","Posiada","Trzeźwy","20","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
98084671,"1","1","Kierujący","1977-01-22","Mężczyzna","Posiada","Trzeźwy","20",NA,"Dochodzenie",NA,NA
98084671,"2","1","Kierujący","1934-09-11","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
98087599,"1","1","Kierujący","1981-07-29","Kobieta","Posiada","Trzeźwy","10","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
98087599,"2","1","Kierujący","1967-12-04","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
98089638,"1","1","Kierujący","1941-08-25","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Mandat karny",NA,NA
98089638,"2","1","Kierujący","1991-02-01","Mężczyzna","Posiada","Trzeźwy","5",NA,NA,NA,NA
98090173,"1","1","Kierujący","1978-10-26","Mężczyzna","Posiada","Trzeźwy","13","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
98090173,"2","1","Kierujący","1959-03-24","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
98094187,"1","1","Kierujący","1989-09-29","Mężczyzna","Posiada","Trzeźwy","4","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
98094187,"2","1","Kierujący","1957-06-22","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
98094525,"1","1","Kierujący","1976-05-20","Kobieta","Posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
98094525,"1","2","Kierujący","1953-04-12","Mężczyzna","Posiada","Trzeźwy",NA,NA,NA,NA,NA
98095148,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA,NA
98095148,"2","1","Kierujący","1953-04-11","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
98097067,"1","1","Kierujący","1984-09-12","Kobieta","Posiada","Trzeźwy","5","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
98097067,"2","1","Kierujący","1987-10-10","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
98099455,"1","1","Kierujący","1993-12-09","Kobieta","Posiada","Trzeźwy","1","Niedostosowanie prędkości do warunków ruchu","Mandat karny",NA,NA
